02 - Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,
Indeterminate/Unknown - relate to enrolments for which the information is inconclusive,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
As at 30 September 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL
Male,18,"1,314","5,497","5,023","4,503","4,444","4,588","4,993","4,443","4,915","4,300","3,664","8,770","56,472"
Indeterminate/Unknown, - ,1,6,3,4,1, - ,1,2, - , - , - , - ,18
Dobell,45,"2,749","9,642","9,293","8,968","9,199","8,969","10,079","9,128","9,715","9,086","8,440","21,874","117,187"
Female,23,"1,430","4,736","4,712","4,522","4,637","4,633","5,163","4,575","5,051","4,845","4,490","12,259","61,076"
Male,22,"1,317","4,904","4,580","4,446","4,561","4,336","4,916","4,553","4,664","4,241","3,950","9,615","56,105"
Indeterminate/Unknown, - ,2,2,1, - ,1, - , - , - , - , - , - , - ,6
Eden-Monaro,44,"2,184","7,233","7,424","8,076","8,338","8,579","10,378","10,316","11,230","10,812","9,680","19,709","114,003"
Female,29,"1,104","3,577","3,718","4,092","4,314","4,364","5,249","5,258","5,554","5,345","4,795","10,123","57,522"
Male,15,"1,077","3,649","3,700","3,981","4,021","4,215","5,127","5,057","5,675","5,466","4,883","9,585","56,451"
Indeterminate/Unknown, - ,3,7,6,3,3, - ,2,1,1,1,2,1,30
Farrer,68,"2,541","8,418","8,044","7,708","7,816","8,105","9,352","9,191","10,555","10,540","9,658","23,640","115,636"
Female,44,"1,337","4,143","3,921","3,907","3,935","4,175","4,789","4,767","5,323","5,298","4,845","12,518","59,002"
Male,24,"1,203","4,274","4,123","3,801","3,881","3,930","4,560","4,424","5,231","5,242","4,813","11,122","56,628"
Indeterminate/Unknown, - ,1,1, - , - , - , - ,3, - ,1, - , - , - ,6
Fowler,46,"2,635","9,406","9,183","8,340","8,573","8,257","9,323","9,195","9,942","9,334","7,741","15,207","107,182"
Female,31,"1,374","4,548","4,463","4,114","4,372","4,355","4,802","4,593","4,880","4,717","4,074","7,980","54,303"
Male,15,"1,259","4,856","4,716","4,225","4,200","3,900","4,519","4,601","5,062","4,617","3,667","7,227","52,864"
Indeterminate/Unknown, - ,2,2,4,1,1,2,2,1, - , - , - , - ,15
Gilmore,37,"2,161","7,453","7,257","7,184","7,387","7,361","8,905","8,858","11,272","12,386","12,635","30,040","122,936"
Female,22,"1,113","3,632","3,558","3,630","3,673","3,699","4,492","4,530","5,876","6,464","6,462","15,682","62,833"
Male,15,"1,048","3,815","3,694","3,553","3,714","3,660","4,412","4,327","5,394","5,922","6,172","14,355","60,081"
Indeterminate/Unknown, - , - ,6,5,1, - ,2,1,1,2, - ,1,3,22
Grayndler,33,"1,674","7,163","11,711","12,446","12,148","10,873","11,196","9,039","8,315","6,629","5,902","12,361","109,490"
Female,19,838,"3,734","6,015","6,393","6,230","5,564","5,773","4,563","4,217","3,482","3,150","6,766","56,744"
Male,14,831,"3,407","5,670","6,042","5,907","5,307","5,422","4,474","4,096","3,146","2,751","5,593","52,660"
Indeterminate/Unknown, - ,5,22,26,11,11,2,1,2,2,1,1,2,86
Greenway,63,"2,998","9,357","8,725","10,774","14,025","12,738","11,184","9,018","8,403","7,162","5,939","11,447","111,833"
Female,37,"1,488","4,581","4,346","5,434","7,064","6,192","5,537","4,456","4,204","3,595","3,082","6,184","56,200"
Male,26,"1,507","4,773","4,374","5,339","6,959","6,544","5,647","4,562","4,199","3,567","2,857","5,263","55,617"
Indeterminate/Unknown, - ,3,3,5,1,2,2, - , - , - , - , - , - ,16
Hughes,33,"2,760","8,788","8,181","8,276","9,442","9,580","10,583","8,986","9,198","8,169","6,962","15,138","106,096"
Female,14,"1,364","4,263","3,963","4,210","4,883","4,889","5,401","4,594","4,761","4,184","3,539","8,152","54,217"
Male,19,"1,392","4,522","4,216","4,064","4,559","4,691","5,182","4,391","4,436","3,985","3,422","6,986","51,865"
Indeterminate/Unknown, - ,4,3,2,2, - , - , - ,1,1, - ,1, - ,14
Hume,42,"3,018","9,484","9,701","10,048","9,947","9,671","10,933","9,651","10,141","8,934","8,252","17,142","116,964"
Female,22,"1,511","4,661","4,861","5,129","5,052","4,934","5,563","4,838","5,173","4,531","4,264","9,041","59,580"
Male,20,"1,507","4,822","4,839","4,918","4,894","4,736","5,370","4,813","4,967","4,403","3,987","8,100","57,376"
Indeterminate/Unknown, - , - ,1,1,1,1,1, - , - ,1, - ,1,1,8
Hunter,34,"2,852","9,500","10,118","10,127","9,711","9,196","10,318","9,539","10,316","9,935","9,122","21,032","121,800"
Female,20,"1,441","4,696","5,031","5,063","4,881","4,640","5,119","4,837","5,184","5,055","4,695","11,304","61,966"
Male,14,"1,410","4,800","5,084","5,064","4,828","4,555","5,199","4,702","5,130","4,880","4,426","9,728","59,820"
Indeterminate/Unknown, - ,1,4,3, - ,2,1, - , - ,2, - ,1, - ,14
Kingsford Smith,38,"2,300","8,441","9,221","10,216","11,136","10,234","10,598","9,181","8,742","7,353","6,477","17,299","111,236"
Female,20,"1,127","4,190","4,616","5,143","5,691","5,279","5,401","4,756","4,405","3,868","3,437","9,662","57,595"
Male,18,"1,173","4,248","4,602","5,068","5,441","4,950","5,193","4,420","4,336","3,482","3,038","7,636","53,605"
Indeterminate/Unknown, - , - ,3,3,5,4,5,4,5,1,3,2,1,36
Lindsay,44,"3,075","11,243","12,151","12,282","12,127","10,685","10,635","9,019","8,953","8,185","7,091","13,838","119,328"
Female,27,"1,529","5,599","6,202","6,262","6,073","5,320","5,325","4,601","4,533","4,315","3,646","7,525","60,957"
Male,17,"1,545","5,641","5,946","6,016","6,053","5,365","5,310","4,417","4,419","3,869","3,445","6,313","58,356"
Indeterminate/Unknown, - ,1,3,3,4,1, - , - ,1,1,1, - , - ,15
Lyne,35,"2,254","6,483","6,060","6,141","6,660","7,034","8,949","8,986","11,134","12,053","12,564","30,844","119,197"
Female,20,"1,151","3,153","3,024","3,181","3,376","3,587","4,640","4,596","5,765","6,257","6,307","15,966","61,023"
Male,15,"1,099","3,324","3,031","2,959","3,282","3,446","4,307","4,390","5,368","5,793","6,256","14,877","58,147"
Indeterminate/Unknown, - ,4,6,5,1,2,1,2, - ,1,3,1,1,27
Macarthur,51,"3,049","11,302","12,167","13,002","12,714","10,870","10,244","8,909","9,501","8,653","7,447","12,762","120,671"
Female,24,"1,538","5,625","6,239","6,721","6,331","5,356","5,147","4,582","4,921","4,539","3,861","6,791","61,675"
Male,27,"1,510","5,677","5,927","6,280","6,383","5,514","5,096","4,327","4,580","4,114","3,586","5,970","58,991"
Indeterminate/Unknown, - ,1, - ,1,1, - , - ,1, - , - , - , - ,1,5
Mackellar,51,"2,654","8,218","6,886","6,621","8,084","9,584","11,153","10,078","9,916","8,549","7,714","21,323","110,831"
Female,25,"1,299","3,958","3,270","3,321","4,223","4,919","5,712","5,229","5,013","4,418","4,045","11,711","57,143"
Male,26,"1,352","4,257","3,614","3,300","3,861","4,664","5,441","4,848","4,903","4,131","3,669","9,611","53,677"
Indeterminate/Unknown, - ,3,3,2, - , - ,1, - ,1, - , - , - ,1,11
Macquarie,46,"2,699","8,315","7,794","7,899","8,047","8,540","10,147","9,220","9,872","9,131","8,554","17,361","107,625"
Female,26,"1,366","3,988","3,799","3,965","4,102","4,401","5,216","4,731","5,132","4,732","4,435","9,481","55,374"
Male,20,"1,331","4,321","3,994","3,932","3,942","4,137","4,930","4,489","4,739","4,398","4,117","7,880","52,230"
Indeterminate/Unknown, - ,2,6,1,2,3,2,1, - ,1,1,2, - ,21
McMahon,58,"2,476","9,679","9,516","9,378","9,559","8,880","9,128","8,880","9,091","8,243","7,108","14,973","106,969"
Female,36,"1,214","4,828","4,692","4,795","4,910","4,438","4,637","4,526","4,656","4,141","3,621","8,012","54,506"
Male,22,"1,260","4,851","4,822","4,582","4,646","4,440","4,490","4,354","4,435","4,102","3,487","6,961","52,452"
Indeterminate/Unknown, - ,2, - ,2,1,3,2,1, - , - , - , - , - ,11
Mitchell,73,"3,194","9,641","7,442","7,777","10,668","11,581","12,054","10,016","9,161","7,704","6,925","15,286","111,522"
Female,34,"1,588","4,705","3,560","4,008","5,527","5,968","6,185","5,147","4,603","3,953","3,620","8,208","57,106"
Male,39,"1,605","4,932","3,882","3,769","5,139","5,611","5,869","4,868","4,558","3,751","3,304","7,078","54,405"
Indeterminate/Unknown, - ,1,4, - , - ,2,2, - ,1, - , - ,1, - ,11
New England,44,"2,490","8,275","8,073","7,892","7,801","7,755","9,106","8,851","10,149","9,943","9,192","22,270","111,841"
Female,27,"1,245","4,055","4,096","3,986","4,027","3,952","4,703","4,507","5,203","5,054","4,588","11,957","57,400"
Male,17,"1,243","4,217","3,975","3,906","3,773","3,803","4,401","4,344","4,946","4,887","4,604","10,313","54,429"
Indeterminate/Unknown, - ,2,3,2, - ,1, - ,2, - , - ,2, - , - ,12
Newcastle,53,"2,709","11,390","11,766","10,737","10,092","9,137","10,185","8,871","9,556","8,717","7,443","17,055","117,711"
Female,26,"1,373","5,637","5,721","5,252","4,979","4,588","5,179","4,504","4,893","4,442","3,804","9,566","59,964"
Male,27,"1,333","5,744","6,041","5,481","5,113","4,549","5,004","4,366","4,663","4,275","3,639","7,489","57,724"
Indeterminate/Unknown, - ,3,9,4,4, - , - ,2,1, - , - , - , - ,23
North Sydney,65,"2,037","6,992","8,718","10,214","11,350","10,640","10,484","8,882","8,606","7,671","6,936","17,055","109,650"
Female,37,960,"3,445","4,327","5,108","5,813","5,371","5,445","4,607","4,403","4,077","3,780","9,538","56,911"
Male,28,"1,073","3,544","4,388","5,104","5,536","5,266","5,039","4,275","4,203","3,594","3,156","7,514","52,720"
Indeterminate/Unknown, - ,4,3,3,2,1,3, - , - , - , - , - ,3,19
Page,36,"2,453","7,791","7,337","7,504","8,085","8,541","10,090","10,050","11,871","12,404","11,698","24,979","122,839"
Female,17,"1,207","3,830","3,657","3,792","4,143","4,369","5,197","5,159","6,053","6,310","5,815","13,158","62,707"
Male,18,"1,245","3,956","3,677","3,710","3,941","4,172","4,890","4,890","5,818","6,093","5,883","11,821","60,114"
Indeterminate/Unknown,1,1,5,3,2,1, - ,3,1, - ,1, - , - ,18
